Date,sulfate,nitrate,ID
1/1/2001,NA,NA,2
1/2/2001,NA,NA,2
1/3/2001,NA,NA,2
1/4/2001,NA,NA,2
1/5/2001,NA,NA,2
1/6/2001,NA,NA,2
1/7/2001,NA,NA,2
1/8/2001,NA,NA,2
1/9/2001,NA,NA,2
1/10/2001,NA,NA,2
1/11/2001,NA,NA,2
1/12/2001,NA,NA,2
1/13/2001,NA,NA,2
1/14/2001,NA,NA,2
1/15/2001,NA,NA,2
1/16/2001,NA,NA,2
1/17/2001,NA,NA,2
1/18/2001,NA,NA,2
1/19/2001,2.3,0.699,2
1/20/2001,NA,NA,2
1/21/2001,NA,NA,2
1/22/2001,NA,NA,2
1/23/2001,NA,NA,2
1/24/2001,NA,NA,2
1/25/2001,2.19,4.97,2
1/26/2001,NA,NA,2
1/27/2001,NA,NA,2
1/28/2001,NA,NA,2
1/29/2001,NA,NA,2
1/30/2001,NA,NA,2
1/31/2001,1.2,1.33,2
2/1/2001,NA,NA,2
2/2/2001,NA,NA,2
2/3/2001,2.23,1.91,2
2/4/2001,NA,NA,2
2/5/2001,NA,NA,2
2/6/2001,4.15,1.39,2
2/7/2001,NA,NA,2
2/8/2001,NA,NA,2
2/9/2001,3,0.867,2
2/10/2001,NA,NA,2
2/11/2001,NA,NA,2
2/12/2001,4.04,1.41,2
2/13/2001,NA,NA,2
2/14/2001,NA,NA,2
2/15/2001,4.79,0.582,2
2/16/2001,NA,NA,2
2/17/2001,NA,NA,2
2/18/2001,2.05,3.57,2
2/19/2001,NA,NA,2
2/20/2001,NA,NA,2
2/21/2001,7.93,2.21,2
2/22/2001,NA,NA,2
2/23/2001,NA,NA,2
2/24/2001,7.74,0.735,2
2/25/2001,NA,NA,2
2/26/2001,NA,NA,2
2/27/2001,2.63,1.57,2
2/28/2001,NA,NA,2
3/1/2001,NA,NA,2
3/2/2001,3.8,1.37,2
3/3/2001,NA,NA,2
3/4/2001,NA,NA,2
3/5/2001,3.52,3.85,2
3/6/2001,NA,NA,2
3/7/2001,NA,NA,2
3/8/2001,3.7,1.79,2
3/9/2001,NA,NA,2
3/10/2001,NA,NA,2
3/11/2001,3.9,1.63,2
3/12/2001,NA,NA,2
3/13/2001,NA,NA,2
3/14/2001,2.72,1.18,2
3/15/2001,NA,NA,2
3/16/2001,NA,NA,2
3/17/2001,5.95,0.655,2
3/18/2001,NA,NA,2
3/19/2001,NA,NA,2
3/20/2001,2.11,0.764,2
3/21/2001,NA,NA,2